fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,tmax,sol
"2020-01-01,8416,VALÈNCIA,VALENCIA,11,""10,4"",""0,0"",""5,7"",""15,1"",""7,5"""
"2020-01-02,8416,VALÈNCIA,VALENCIA,11,""11,4"",""0,0"",""7,3"",""15,6"",""6,9"""
"2020-01-03,8416,VALÈNCIA,VALENCIA,11,""9,2"",""0,0"",""4,7"",""13,7"",""7,2"""
"2020-01-04,8416,VALÈNCIA,VALENCIA,11,""10,3"",""0,0"",""5,4"",""15,2"",""8,7"""
"2020-01-05,8416,VALÈNCIA,VALENCIA,11,""11,2"",""0,0"",""4,0"",""18,5"",""8,5"""
"2020-01-06,8416,VALÈNCIA,VALENCIA,11,""10,7"",""0,0"",""5,3"",""16,1"",""8,6"""
"2020-01-07,8416,VALÈNCIA,VALENCIA,11,""10,4"",""0,0"",""4,8"",""16,0"",""8,3"""
"2020-01-08,8416,VALÈNCIA,VALENCIA,11,""9,8"",""0,0"",""4,2"",""15,5"",""3,7"""
"2020-01-09,8416,VALÈNCIA,VALENCIA,11,""11,0"",""0,0"",""6,0"",""16,0"",""8,4"""
"2020-01-10,8416,VALÈNCIA,VALENCIA,11,""11,9"",""0,0"",""7,0"",""16,8"",""4,5"""
"2020-01-11,8416,VALÈNCIA,VALENCIA,11,""11,1"",""0,0"",""5,3"",""16,9"",""8,8"""
"2020-01-12,8416,VALÈNCIA,VALENCIA,11,""10,0"",""0,0"",""4,3"",""15,7"",""8,8"""
"2020-01-13,8416,VALÈNCIA,VALENCIA,11,""9,9"",""0,0"",""2,6"",""17,2"",""6,8"""
"2020-01-14,8416,VALÈNCIA,VALENCIA,11,""9,8"",""0,0"",""2,6"",""16,9"",""8,7"""
"2020-01-15,8416,VALÈNCIA,VALENCIA,11,""10,8"",""0,0"",""3,4"",""18,1"",""7,2"""
"2020-01-16,8416,VALÈNCIA,VALENCIA,11,""12,0"",""0,0"",""5,2"",""18,8"",""8,7"""
"2020-01-17,8416,VALÈNCIA,VALENCIA,11,""13,4"",""0,0"",""7,9"",""19,0"",""5,0"""
"2020-01-18,8416,VALÈNCIA,VALENCIA,11,""13,2"",""2,4"",""7,7"",""18,8"",""4,0"""
"2020-01-19,8416,VALÈNCIA,VALENCIA,11,""9,6"",""38,2"",""9,5"",""9,6"",""0,0"""
"2020-01-20,8416,VALÈNCIA,VALENCIA,11,""7,1"",""53,5"",""5,0"",""9,2"",""0,0"""
"2020-01-21,8416,VALÈNCIA,VALENCIA,11,""9,8"",""35,3"",""6,6"",""13,1"",""0,0"""
"2020-01-22,8416,VALÈNCIA,VALENCIA,11,""12,0"",""9,9"",""9,7"",""14,3"",""0,0"""
"2020-01-23,8416,VALÈNCIA,VALENCIA,11,""9,9"",Ip,""5,4"",""14,4"",""3,7"""
"2020-01-24,8416,VALÈNCIA,VALENCIA,11,""12,0"",""0,0"",""8,0"",""16,0"",""0,6"""
"2020-01-25,8416,VALÈNCIA,VALENCIA,11,""12,2"",""0,0"",""10,3"",""14,2"",""0,6"""
"2020-01-26,8416,VALÈNCIA,VALENCIA,11,""13,8"",""0,0"",""9,8"",""17,8"",""6,2"""
"2020-01-27,8416,VALÈNCIA,VALENCIA,11,""13,0"",""0,0"",""7,6"",""18,4"",""7,6"""
"2020-01-28,8416,VALÈNCIA,VALENCIA,11,""15,8"",""0,0"",""13,8"",""17,9"",""0,4"""
"2020-01-29,8416,VALÈNCIA,VALENCIA,11,""18,6"",""0,0"",""14,7"",""22,4"",""2,4"""
"2020-01-30,8416,VALÈNCIA,VALENCIA,11,""17,6"",""0,0"",""13,0"",""22,2"",""5,3"""
"2020-01-31,8416,VALÈNCIA,VALENCIA,11,""19,1"",""0,0"",""14,5"",""23,7"",""9,2"""
"2020-02-01,8416,VALÈNCIA,VALENCIA,11,""20,4"",""0,0"",""13,8"",""27,1"",""7,0"""
"2020-02-02,8416,VALÈNCIA,VALENCIA,11,""19,4"",""0,0"",""14,0"",""24,9"",""7,0"""
"2020-02-03,8416,VALÈNCIA,VALENCIA,11,""19,4"",""0,0"",""13,2"",""25,6"",""8,5"""
